"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 14 00:59:40 GMT 2021","Mon Jun 14 00:59:43 GMT 2021","3302","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRateAndValidateScheme","getTodayExchangeRateAndValidateScheme()",""
"passed","Mon Jun 14 00:59:43 GMT 2021","Mon Jun 14 00:59:45 GMT 2021","2133","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRate","getTodayExchangeRate()",""
