"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 21 01:06:05 GMT 2021","Mon Jun 21 01:06:06 GMT 2021","1255","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRate","getTodayExchangeRate()",""
"passed","Mon Jun 21 01:06:01 GMT 2021","Mon Jun 21 01:06:05 GMT 2021","3727","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRateAndValidateScheme","getTodayExchangeRateAndValidateScheme()",""
