"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 26 00:59:02 GMT 2021","Sat Jun 26 00:59:03 GMT 2021","1295","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRate","getTodayExchangeRate()",""
"passed","Sat Jun 26 00:58:59 GMT 2021","Sat Jun 26 00:59:02 GMT 2021","2757","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRateAndValidateScheme","getTodayExchangeRateAndValidateScheme()",""
