"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 09 01:10:01 GMT 2021","Wed Jun 09 01:10:03 GMT 2021","1616","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRate","getTodayExchangeRate()",""
"passed","Wed Jun 09 01:09:57 GMT 2021","Wed Jun 09 01:10:01 GMT 2021","3618","","ExchangeRateTest","","ExchangeRateTest","getTodayExchangeRateAndValidateScheme","getTodayExchangeRateAndValidateScheme()",""
